id,doc_id,type,context,stanford_sentence_id,stanford_token_start,stanford_token_end
CNN_ENG_20030529_085826.10-E1-4,CNN_ENG_20030529_085826.10,PER,mike,4,1,1
CNN_ENG_20030529_085826.10-E1-6,CNN_ENG_20030529_085826.10,PER,"jerusalem bureau chief",3,4,4
CNN_ENG_20030529_085826.10-E1-22,CNN_ENG_20030529_085826.10,PER,"mike hanna",3,5,6
CNN_ENG_20030529_085826.10-E2-2,CNN_ENG_20030529_085826.10,GPE,jerusalem,3,2,2
CNN_ENG_20030529_085826.10-E3-3,CNN_ENG_20030529_085826.10,ORG,our,3,1,1
CNN_ENG_20030529_085826.10-E5-7,CNN_ENG_20030529_085826.10,ORG,"jerusalem bureau",3,3,3
CNN_ENG_20030529_085826.10-E6-1,CNN_ENG_20030529_085826.10,PER,"israeli prime minister ariel sharon",1,4,5
CNN_ENG_20030529_085826.10-E6-8,CNN_ENG_20030529_085826.10,PER,"israeli prime minister",1,3,3
CNN_ENG_20030529_085826.10-E8-9,CNN_ENG_20030529_085826.10,GPE,israeli,1,1,1
CNN_ENG_20030529_085826.10-E9-10,CNN_ENG_20030529_085826.10,PER,"palestinian prime minister
mahmoud abbas",1,10,11
CNN_ENG_20030529_085826.10-E9-11,CNN_ENG_20030529_085826.10,PER,"palestinian prime minister",1,9,9
CNN_ENG_20030529_085826.10-E11-13,CNN_ENG_20030529_085826.10,GPE,palestinian,1,7,7
CNN_ENG_20030529_085826.10-E12-14,CNN_ENG_20030529_085826.10,PER,their,1,17,17
CNN_ENG_20030529_085826.10-E12-18,CNN_ENG_20030529_085826.10,PER,"both
sides",2,2,2
CNN_ENG_20030529_085826.10-E13-15,CNN_ENG_20030529_085826.10,ORG,"the bush administration",1,25,25
CNN_ENG_20030529_085826.10-E14-12,CNN_ENG_20030529_085826.10,PER,"president bush",2,7,7
CNN_ENG_20030529_085826.10-E14-16,CNN_ENG_20030529_085826.10,PER,bush,1,24,24
CNN_ENG_20030529_085826.10-E14-19,CNN_ENG_20030529_085826.10,PER,president,2,6,6
CNN_ENG_20030529_085826.10-E14-20,CNN_ENG_20030529_085826.10,PER,he,2,9,9
CNN_ENG_20030529_085826.10-E16-17,CNN_ENG_20030529_085826.10,GPE,mideast,1,30,30
CNN_ENG_20030529_085826.10-E16-21,CNN_ENG_20030529_085826.10,GPE,"the mideast",2,13,13
CNN_ENG_20030529_085826.10-T2-1,CNN_ENG_20030529_085826.10,Time,today,1,15,15
CNN_ENG_20030529_085826.10-T3-1,CNN_ENG_20030529_085826.10,Time,"next week",2,14,15
CNNHL_ENG_20030415_193729.5-E1-1,CNNHL_ENG_20030415_193729.5,LOC,"the border",3,18,18
CNNHL_ENG_20030415_193729.5-E2-2,CNNHL_ENG_20030415_193729.5,PER,"four hijackers under his command",4,7,7
CNNHL_ENG_20030415_193729.5-E3-4,CNNHL_ENG_20030415_193729.5,GPE,italian,4,14,14
CNNHL_ENG_20030415_193729.5-E3-13,CNNHL_ENG_20030415_193729.5,GPE,italian,5,8,8
CNNHL_ENG_20030415_193729.5-E4-6,CNNHL_ENG_20030415_193729.5,PER,"a wheelchair-
bound american tourist",4,28,28
CNNHL_ENG_20030415_193729.5-E4-10,CNNHL_ENG_20030415_193729.5,PER,"leo klinghoffer",4,30,31
CNNHL_ENG_20030415_193729.5-E5-7,CNNHL_ENG_20030415_193729.5,GPE,american,4,27,27
CNNHL_ENG_20030415_193729.5-E5-23,CNNHL_ENG_20030415_193729.5,GPE,u.s,1,15,15
CNNHL_ENG_20030415_193729.5-E5-25,CNNHL_ENG_20030415_193729.5,GPE,u.s,2,1,1
CNNHL_ENG_20030415_193729.5-E6-9,CNNHL_ENG_20030415_193729.5,VEH,wheelchair,4,24,24
CNNHL_ENG_20030415_193729.5-E8-12,CNNHL_ENG_20030415_193729.5,ORG,"an italian court",5,9,9
CNNHL_ENG_20030415_193729.5-E10-14,CNNHL_ENG_20030415_193729.5,FAC,prison,5,17,17
CNNHL_ENG_20030415_193729.5-E11-15,CNNHL_ENG_20030415_193729.5,PER,terrorist,1,3,3
CNNHL_ENG_20030415_193729.5-E12-16,CNNHL_ENG_20030415_193729.5,VEH,"the italian cruise ship",4,15,16
CNNHL_ENG_20030415_193729.5-E12-17,CNNHL_ENG_20030415_193729.5,VEH,"achille lauro",4,18,19
CNNHL_ENG_20030415_193729.5-E12-22,CNNHL_ENG_20030415_193729.5,VEH,"cruise ship",1,11,11
CNNHL_ENG_20030415_193729.5-E13-19,CNNHL_ENG_20030415_193729.5,GPE,palestinian,1,2,2
CNNHL_ENG_20030415_193729.5-E13-29,CNNHL_ENG_20030415_193729.5,GPE,palestinian,3,1,1
CNNHL_ENG_20030415_193729.5-E14-20,CNNHL_ENG_20030415_193729.5,PER,"u.s. sources",2,2,2
CNNHL_ENG_20030415_193729.5-E18-21,CNNHL_ENG_20030415_193729.5,PER,"palestinian
sources",3,2,2
