id,doc_id,subtype,stanford_sentence_id,stanford_token
CNN_ENG_20030529_085826.10-EV1-1,CNN_ENG_20030529_085826.10,Meet,1,14
CNN_ENG_20030529_085826.10-EV2-1,CNN_ENG_20030529_085826.10,Meet,2,4
CNN_ENG_20030529_085826.10-EV3-1,CNN_ENG_20030529_085826.10,Transport,2,10
CNNHL_ENG_20030415_193729.5-EV1-1,CNNHL_ENG_20030415_193729.5,Transport,3,8
CNNHL_ENG_20030415_193729.5-EV2-1,CNNHL_ENG_20030415_193729.5,Die,4,22
CNNHL_ENG_20030415_193729.5-EV3-1,CNNHL_ENG_20030415_193729.5,Convict,5,3
CNNHL_ENG_20030415_193729.5-EV4-1,CNNHL_ENG_20030415_193729.5,Sentence,5,11
BACONSREBELLION_20050125.1108-EV1-1,BACONSREBELLION_20050125.1108,Transfer-Money,1,20
BACONSREBELLION_20050125.1108-EV2-1,BACONSREBELLION_20050125.1108,Transfer-Money,7,5
BACONSREBELLION_20050125.1108-EV3-1,BACONSREBELLION_20050125.1108,Transfer-Money,12,30
BACONSREBELLION_20050125.1108-EV3-2,BACONSREBELLION_20050125.1108,Transfer-Money,14,24
BACONSREBELLION_20050125.1108-EV3-3,BACONSREBELLION_20050125.1108,Transfer-Money,20,25
BACONSREBELLION_20050125.1108-EV4-1,BACONSREBELLION_20050125.1108,Transfer-Money,12,50
BACONSREBELLION_20050125.1108-EV4-2,BACONSREBELLION_20050125.1108,Transfer-Money,15,8
BACONSREBELLION_20050125.1108-EV5-1,BACONSREBELLION_20050125.1108,Transfer-Money,13,3
BACONSREBELLION_20050125.1108-EV5-2,BACONSREBELLION_20050125.1108,Transfer-Money,14,31
BACONSREBELLION_20050125.1108-EV5-3,BACONSREBELLION_20050125.1108,Transfer-Money,20,59
BACONSREBELLION_20050125.1108-EV5-4,BACONSREBELLION_20050125.1108,Transfer-Money,20,64
BACONSREBELLION_20050125.1108-EV6-1,BACONSREBELLION_20050125.1108,Elect,17,19
BACONSREBELLION_20050125.1108-EV7-1,BACONSREBELLION_20050125.1108,Transfer-Money,20,31
BACONSREBELLION_20050125.1108-EV8-1,BACONSREBELLION_20050125.1108,Transfer-Money,18,7
BACONSREBELLION_20050125.1108-EV9-1,BACONSREBELLION_20050125.1108,Transfer-Money,20,79
CNN_ENG_20030407_130604.10-EV1-1,CNN_ENG_20030407_130604.10,Meet,3,13
CNN_ENG_20030407_130604.10-EV1-2,CNN_ENG_20030407_130604.10,Meet,8,19
CNN_ENG_20030407_130604.10-EV2-1,CNN_ENG_20030407_130604.10,Transport,13,11
CNN_ENG_20030407_130604.10-EV3-1,CNN_ENG_20030407_130604.10,Transport,3,7
CNN_ENG_20030407_130604.10-EV4-1,CNN_ENG_20030407_130604.10,Attack,8,25
CNN_ENG_20030407_130604.10-EV5-1,CNN_ENG_20030407_130604.10,Attack,22,16
CNN_ENG_20030407_130604.10-EV6-1,CNN_ENG_20030407_130604.10,Attack,24,34
CNN_ENG_20030407_130604.10-EV7-1,CNN_ENG_20030407_130604.10,Attack,32,12
CNN_ENG_20030612_160005.13-EV1-1,CNN_ENG_20030612_160005.13,End-Position,3,26
CNN_ENG_20030612_160005.13-EV2-1,CNN_ENG_20030612_160005.13,Elect,6,12
CNN_ENG_20030612_160005.13-EV3-1,CNN_ENG_20030612_160005.13,End-Position,7,9
CNN_ENG_20030612_160005.13-EV4-1,CNN_ENG_20030612_160005.13,Elect,10,27
CNN_ENG_20030430_160723.6-EV1-1,CNN_ENG_20030430_160723.6,Meet,5,12
CNN_ENG_20030430_160723.6-EV2-1,CNN_ENG_20030430_160723.6,Attack,6,21
CNN_ENG_20030430_160723.6-EV3-1,CNN_ENG_20030430_160723.6,Attack,7,23
MARKBACKER_20041119.1002-EV1-1,MARKBACKER_20041119.1002,Attack,21,15
APW_ENG_20030412.0531-EV1-1,APW_ENG_20030412.0531,Attack,15,5
APW_ENG_20030412.0531-EV2-1,APW_ENG_20030412.0531,Elect,1,18
APW_ENG_20030412.0531-EV3-1,APW_ENG_20030412.0531,Die,15,8
APW_ENG_20030412.0531-EV4-1,APW_ENG_20030412.0531,End-Position,1,5
APW_ENG_20030412.0531-EV5-1,APW_ENG_20030412.0531,Attack,16,9
APW_ENG_20030412.0531-EV5-2,APW_ENG_20030412.0531,Attack,2,20
APW_ENG_20030412.0531-EV5-3,APW_ENG_20030412.0531,Attack,11,12
APW_ENG_20030412.0531-EV5-4,APW_ENG_20030412.0531,Attack,17,9
APW_ENG_20030412.0531-EV5-5,APW_ENG_20030412.0531,Attack,24,28
APW_ENG_20030412.0531-EV6-1,APW_ENG_20030412.0531,Transfer-Ownership,3,11
APW_ENG_20030412.0531-EV6-2,APW_ENG_20030412.0531,Transfer-Ownership,13,25
APW_ENG_20030412.0531-EV6-3,APW_ENG_20030412.0531,Transfer-Ownership,20,18
APW_ENG_20030412.0531-EV7-1,APW_ENG_20030412.0531,Transport,5,8
APW_ENG_20030412.0531-EV8-1,APW_ENG_20030412.0531,Meet,12,11
APW_ENG_20030412.0531-EV9-1,APW_ENG_20030412.0531,Start-Position,19,29
APW_ENG_20030412.0531-EV10-1,APW_ENG_20030412.0531,Die,21,14
APW_ENG_20030412.0531-EV11-1,APW_ENG_20030412.0531,Attack,22,15
APW_ENG_20030412.0531-EV11-2,APW_ENG_20030412.0531,Attack,23,5
APW_ENG_20030412.0531-EV12-1,APW_ENG_20030412.0531,Transfer-Ownership,30,4
APW_ENG_20030412.0531-EV13-1,APW_ENG_20030412.0531,Transfer-Ownership,31,9
APW_ENG_20030412.0531-EV14-1,APW_ENG_20030412.0531,Attack,31,30
APW_ENG_20030412.0531-EV15-1,APW_ENG_20030412.0531,Transfer-Ownership,34,7
CNN_ENG_20030622_173306.9-EV1-1,CNN_ENG_20030622_173306.9,Transport,1,15
CNN_ENG_20030622_173306.9-EV2-1,CNN_ENG_20030622_173306.9,Transport,1,10
CNN_ENG_20030622_173306.9-EV3-1,CNN_ENG_20030622_173306.9,Transport,2,18
CNN_ENG_20030622_173306.9-EV4-1,CNN_ENG_20030622_173306.9,Transport,8,10
CNN_ENG_20030622_173306.9-EV5-1,CNN_ENG_20030622_173306.9,Transport,24,12
CNN_ENG_20030622_173306.9-EV6-1,CNN_ENG_20030622_173306.9,Transport,9,10
CNN_ENG_20030622_173306.9-EV7-1,CNN_ENG_20030622_173306.9,Transport,13,15
CNN_ENG_20030622_173306.9-EV7-2,CNN_ENG_20030622_173306.9,Transport,30,7
CNN_ENG_20030622_173306.9-EV7-3,CNN_ENG_20030622_173306.9,Transport,47,12
CNN_ENG_20030622_173306.9-EV8-1,CNN_ENG_20030622_173306.9,Phone-Write,15,12
CNN_ENG_20030622_173306.9-EV9-1,CNN_ENG_20030622_173306.9,Transport,25,5
CNN_ENG_20030622_173306.9-EV10-1,CNN_ENG_20030622_173306.9,Transport,27,12
CNN_ENG_20030408_153616.9-EV1-1,CNN_ENG_20030408_153616.9,Attack,1,5
CNN_ENG_20030408_153616.9-EV2-1,CNN_ENG_20030408_153616.9,Attack,2,4
CNN_ENG_20030408_153616.9-EV2-2,CNN_ENG_20030408_153616.9,Attack,3,2
CNN_ENG_20030408_153616.9-EV3-1,CNN_ENG_20030408_153616.9,Attack,2,11
CNN_ENG_20030408_153616.9-EV4-1,CNN_ENG_20030408_153616.9,Die,3,3
CNN_ENG_20030408_153616.9-EV5-1,CNN_ENG_20030408_153616.9,Die,4,5
CNN_ENG_20030408_153616.9-EV6-1,CNN_ENG_20030408_153616.9,Attack,8,5
CNN_ENG_20030408_153616.9-EV6-2,CNN_ENG_20030408_153616.9,Attack,7,22
CNN_ENG_20030408_153616.9-EV7-1,CNN_ENG_20030408_153616.9,Meet,8,26
CNN_ENG_20030408_153616.9-EV8-1,CNN_ENG_20030408_153616.9,Attack,9,12
FLOPPINGACES_20041114.1240.039-EV1-1,FLOPPINGACES_20041114.1240.039,Transport,1,29
FLOPPINGACES_20041114.1240.039-EV2-1,FLOPPINGACES_20041114.1240.039,Transport,3,12
FLOPPINGACES_20041114.1240.039-EV3-1,FLOPPINGACES_20041114.1240.039,Arrest-Jail,1,16
CNN_ENG_20030618_150128.5-EV1-1,CNN_ENG_20030618_150128.5,End-Position,1,16
CNN_ENG_20030618_150128.5-EV2-1,CNN_ENG_20030618_150128.5,Charge-Indict,2,6
CNN_ENG_20030618_150128.5-EV3-1,CNN_ENG_20030618_150128.5,Trial-Hearing,4,7
CNN_ENG_20030618_150128.5-EV4-1,CNN_ENG_20030618_150128.5,Die,3,10
AGGRESSIVEVOICEDAILY_20050113.1400-EV1-1,AGGRESSIVEVOICEDAILY_20050113.1400,Attack,1,34
CNNHL_ENG_20030429_220618.15-EV1-1,CNNHL_ENG_20030429_220618.15,Meet,2,5
fsh_29520-EV1-1,fsh_29520,Elect,2,10
fsh_29520-EV1-2,fsh_29520,Elect,14,22
fsh_29520-EV1-3,fsh_29520,Elect,28,31
fsh_29520-EV2-1,fsh_29520,Elect,10,7
fsh_29520-EV3-1,fsh_29520,Elect,17,7
fsh_29520-EV4-1,fsh_29520,Elect,27,49
fsh_29520-EV5-1,fsh_29520,End-Position,29,12
fsh_29520-EV6-1,fsh_29520,Attack,34,20
fsh_29520-EV7-1,fsh_29520,Attack,34,18
CNN_CF_20030305.1900.00-2-EV1-1,CNN_CF_20030305.1900.00-2,End-Position,1,28
CNN_CF_20030305.1900.00-2-EV1-2,CNN_CF_20030305.1900.00-2,End-Position,4,4
CNN_CF_20030305.1900.00-2-EV2-1,CNN_CF_20030305.1900.00-2,Attack,2,55
CNN_CF_20030305.1900.00-2-EV3-1,CNN_CF_20030305.1900.00-2,End-Position,14,16
CNN_CF_20030305.1900.00-2-EV3-2,CNN_CF_20030305.1900.00-2,End-Position,14,24
CNN_CF_20030305.1900.00-2-EV4-1,CNN_CF_20030305.1900.00-2,End-Position,17,5
CNN_CF_20030305.1900.00-2-EV5-1,CNN_CF_20030305.1900.00-2,End-Position,20,7
OIADVANTAGE_20050204.1155-EV1-1,OIADVANTAGE_20050204.1155,Start-Org,42,6
OIADVANTAGE_20050204.1155-EV2-1,OIADVANTAGE_20050204.1155,Transfer-Ownership,42,16
rec.travel.europe_20050101.1800-EV1-1,rec.travel.europe_20050101.1800,Transport,33,34
rec.travel.europe_20050101.1800-EV2-1,rec.travel.europe_20050101.1800,Transport,37,46
rec.travel.europe_20050101.1800-EV3-1,rec.travel.europe_20050101.1800,Transport,54,9
rec.travel.europe_20050101.1800-EV4-1,rec.travel.europe_20050101.1800,Transport,1,21
rec.travel.europe_20050101.1800-EV5-1,rec.travel.europe_20050101.1800,Transport,1,10
